bibliographicCitation,collectionCode,catalogNumber,family,genus,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef
SpeciesLink,MBM,23169,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,29841,"Hatschbach, G.",NA,,,"Barneby, R.C.",1976,2,Brazil,Minas Gerais,Jaboticatubas,Serra do Cip—,-43.54,-19.388,2
SpeciesLink,NYBG_BR,978907,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,35266,"Hatschbach, G.",1974,10,24,"Barneby, R.C.",2010,2,Brazil,Minas Gerais,Jaboticatubas,Entre Rio Doce e Colonia,-43.745,-19.514,2
SpeciesLink,UB,127461,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,36061,"Anderson, W.R.",1972,2,17,"Barneby, R.C.",NA,1,Brasil,Minas Gerais,,Serra do Cip—,-43.565,-19.391,2
SpeciesLink,UB,127460,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,36263,"Anderson, W.R.",1972,2,18,"Barneby, R.C.",22/03/2014,2,Brasil,Minas Gerais,,Serra do Cip—,-43.641,-19.445,1
Reflora,RB,RB00142883,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,49019,"Maguire, B.",1960,8,6,"Cota, M.M.T.",3/7/19,1,Brasil,Minas Gerais,Minas Gerais,"SERRRA DI CIPÓ, KM 111-120, ROAD FROM HOTEL CHAPEU DO SOL,.",-43.554,-19.289,0
SpeciesLink,INPA,142209,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,49699,"Hatschbach, G.",1985,9,14,"Hatschbach, G.",/11/1997,2,Brasil,Minas Gerais,Gouveia,"Barro Preto, Torre Telemig.",-43.836,-18.561,1
SpeciesLink,UEC,63520,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,56871,"Hatschbach, G.",1992,4,8,"Concei‹o, A.S.",9/4/03,1,Brazil,Bahia,Mucug,2 - 3Km S.,-41.372,-12.989,1
SpeciesLink,SP,154698,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,705902,"Brantjes, N.B.M.",1978,5,16,"Hervêncio, P.",/10/1983,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, ChapŽu do Sol",-43.601,-19.3,1
SpeciesLink,UEC,129552,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,C-192,"Yamamoto, K.; Kinoshita, L.S.; Costa, I.R.; Verola, C.F.; Rio, M.C.S.; Nakakura, H.C.C.",2002,9,27,"Rando, J.G.",NA,2,Brazil,Minas Gerais,Santana do Riacho,Estrada para o Morro do Breu,-43.698,-19.112,2
SpeciesLink,CESJ,1845,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CESJ1845,"Roth, L.",1957,1,15,NA,,2,Brasil,Minas Gerais,Belo Horizonte,"Serra do Curral, BR 3, Km 15",-43.892,-19.945,1
SpeciesLink,NYBG_BR,978956,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFCR1767,"Giulietti, A.M.",1981,8,30,"Barneby, R.C.",/01/2014,2,Brazil,Minas Gerais,Diamantina,"Margem da estrada para Conselheiro Mata, 5 km de Diamantina",-43.663,-18.252,1
SpeciesLink,SPF,18742,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFCR1947,"Furlan, A. ",1981,9,7,"Lewis, GP",1983,1,Brasil,Bahia,Mucug,Estrada Mucugê -GuinŽ,-41.371,-13.005,0
SpeciesLink,SPF,61704,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFSC10326,"Mello-Silva, R.",1987,7,21,"Hervêncio, P.",/12/1996,1,Brasil,Minas Gerais,Santana do Riacho,Serra do Cip—,-43.567,-19.317,2
SpeciesLink,SPF,80348,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFSC12757,"Simão-Bianchini, R.",1991,6,1,"Hervêncio, P.",/06/2008,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Alto do Pal‡cio, pr—ximo ao Rio Preto.",-43.538,-19.285,1
SpeciesLink,SP,145279,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFSC3069,"Joly, A.B.; Semir, J.",1972,8,21,"Rando, J.G.",/06/2008,2,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, ao longo da rodovia Lagoa Santa-Concei‹o do Mato Dentro-Diamantina, Estrada da Usina, ca. 10km da entrada principal",-43.613,-19.204,1
SpeciesLink,SP,145259,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFSC3076,"Joly, A.B.; Semir, J.",1972,8,21,"Rando, J.G.",/06/2008,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, ao longo da rodovia Lagoa Santa-Concei‹o do Mato Dentro-Diamantina, Estrada da Usina, ca. 10km da entrada da estrada principal",-43.613,-19.204,1
SpeciesLink,NYBG_BR,978929,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,CFSC9849,"Chukr, N.S.",1986,7,26,"Barneby, R.C.",1998,2,Brazil,Minas Gerais,Santana do Riacho,Ao longo da rodovia Belo Horizonte- Conceiao do Mato Dentro. Estrada da Usina,-43.714,-19.169,0
SpeciesLink,SPF,104203,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD1030,"Carvalho, A.M.V.",1994,10,26,"Concei‹o, AS",/07/1999,1,Brasil,Bahia,Palmeiras,,-41.471,-12.456,0
SpeciesLink,ALCB,37604,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD1066,"Carvalho, A.M.V.",1994,10,27,"Silva, E.M.; Campos, M.D.; F.Vaz, S",/01/1997,1,Brasil,Bahia,Len—is,"Chapada Diamantina, Serra da Chapadinha",-41.44,-12.46,2
SpeciesLink,SPF,103658,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD1242,"Melo, E.",1994,11,22,"Queiroz, L.P.",1995,1,Brasil,Bahia,Len—is,Morro da Chapadinha,-41.453,-12.457,0
SpeciesLink,HUEFS,20744,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD256,"Pereira, A.",1994,7,29,"Queiroz, L.P.",1995,1,Brasil,Bahia,Len—is,Serra da Chapadinha.,-41.433,-12.45,0
SpeciesLink,HUEFS,63656,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD3784,"Harley, R.M.",1996,8,24,"Concei‹o, A.S.",/09/2008,1,Brasil,Bahia,Len—is,Caminho para a Serra da Chapadinha.,-41.171,-13.229,1
SpeciesLink,SPF,103604,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD417,"Orlandi, R.P.",1994,8,29,"Concei‹o, A.S.",/07/1999,1,Brasil,Bahia,Palmeiras,"Chapada Diamantina, Morro do Pai In‡cio",-41.471,-12.456,0
SpeciesLink,ALCB,37601,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD555,"Guedes, M.L.; Orlandi, R.P.; Stradmann, M.T.S.; Poveda, A.",1994,8,30,"Silva, E.M.; Campos, M.D.; F.Vaz, S",/01/1997,1,Brasil,Bahia,Palmeiras,"Chapada Diamantina, Morro do Pai In‡cio, lado oposto da torre de repeti‹o",-41.472,-12.45,0
SpeciesLink,ALCB,37613,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,PCD694,"Guedes, M.L.; Orlandi, R.P.; Stradmann, M.T.S.; Poveda, A.",1994,8,31,"Silva, E.M.; Campos, M.D.; F.Vaz, S",/01/1997,1,Brasil,Bahia,Len—is,"Chapada Diamantina, Serra da Chapadinha",-41.454,-12.467,2
SpeciesLink,ALCB,63507,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,s/n,"Monsão, M.M.A.",2000,2,2,"Concei‹o, A.S.",,1,Brasil,Bahia,Gentio do Ouro,"Irecê, Vale das Pedras, (CASF)",-42.721,-11.111,0
Reflora,RB,RB00562131,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,s/n,"Simão-Bianchini, R.",1,6,1991,"Hervêncio, P.",--/12/1996,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, alto do Pal‡cio, pr—ximo ao Rio Preto.",-43.56,-19.245,1
JG Rando,"SP, UEC",145259,Fabaceae,Chamaecrista,Chamaecrista arrojadoana,,"Joly, A.B.",1972,8,21,"Rando, J.G.",,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cip—, estrada da Usina, ca. de 10 km da entrada da estrada principal.",-43.613,-19.514,1
SpeciesLink,HUEFS,229336,Fabaceae,Chamaecrista,Chamaecrista burchellii,466,"Oliveira, J.A.",2014,11,26,"Rando, J.G.",/12/2014,1,Brasil,Goiás,Niquelandia,Rodovia GO-132. Cerrado sensu strictu às margens da rodovia.,-48.1522,-14.2872,0
SpeciesLink,CEN,98639,Fabaceae,Chamaecrista,Chamaecrista burchellii,530,"Oliveira, J.A.",2014,11,27,"Cota, M.M.T.",/11/2017,1,Brasil,Goiás,Niquelandia,Margem da Rodovia GO-132.,-48.115,-14.3422,0
SpeciesLink,HUEFS,210385,Fabaceae,Chamaecrista,Chamaecrista burchellii,688,"Delfini, C.",2012,10,23,"Cota, M.M.T.",/02/2017,1,Brasil,Goiás,Colinas do Sul,"Estrada entre Colinas do Sul e Niquelândia (GO-237), 17 Km SW (em linha reta) de Colinas do Sul.",-48.1564,-14.2806,0
SpeciesLink,SPF,227708,Fabaceae,Chamaecrista,Chamaecrista burchellii,951,"Borges, L.M.",2012,11,3,"Rando, J.G.",2015,1,Brasil,Goiás,Niquelandia,"Serra da Mesa, Estrada GO 327, Colinas do Sul#?#Niquelândia; 28,5 km da rotat—ria no centro da cidade; ambas as margens da estrada.",-48.1249,-14.3383,0
SpeciesLink,SPF,133595,Fabaceae,Chamaecrista,Chamaecrista burchellii,1058,"Forzza, RC",1998,9,17,"Hervencio, P.",/12/1998,2,Brasil,Goiás,Niquelandia,Estrada Niquelândia-Colinas.,-48.4597,-14.4739,2
Reflora,SPF,SPF00211467,Fabaceae,Chamaecrista,Chamaecrista burchellii,1092,"Rando, J.G.",2011,10,23,Administrador,6/8/19,2,Brasil,Goiás,Niquelandia,"Estrada Niquelândia - Colinas do Sul, 28 km da sa’da de Niquelândia, na bifurca‹o para Colinas do Sul, lado direito da estrada.",-48.1879,-14.4642,1
Reflora,NY,NY00959438,Fabaceae,Chamaecrista,Chamaecrista burchellii,1597,"Fonseca, M.L.",1997,10,2,"Barneby, R.C.",--/--/1988,2,Brazil,Goiás,Niquelandia,"Fazenda Engenho, ca. 11 km de Niquelândia em dira‹o a Dois Irm‹os.  Área do Dito.",-48.3589,-14.6953,0
Reflora,NY,NY00959439,Fabaceae,Chamaecrista,Chamaecrista burchellii,1689,"Fonseca, M.L.",1997,11,20,"Barneby, R.C.",,2,Brazil,Goiás,Niquelandia,"Fazenda Engenho, ca. 11 km de Niquelândia em dire‹o a Dois Irm‹os. Cabeceira do Rio Tra’ras",-48.4612,-14.601,1
Reflora,NY,NY00980397,Fabaceae,Chamaecrista,Chamaecrista burchellii,1788,"Cavalcanti, T.B.",1995,10,6,"Souza, A.O.",--/09/2018,2,Brazil,Goiás,Niquelandia,Estrada Niquelandia-Campinau,-48.6167,-13.9833,0
Reflora,NY,NY00959437,Fabaceae,Chamaecrista,Chamaecrista burchellii,1834,"Fonseca, M.L.",1998,5,8,"Barneby, R.C.",--/--/1988,2,Brazil,Goiás,Niquelandia,ca. 31 km de Niquelândia em direao a Muquêm; pr—ximo ao C—rrego Dois Irmaos. Folha Uruaú SD 22-Z-B,-48.1783,-14.4756,0
SpeciesLink,HUEFS,152539,Fabaceae,Chamaecrista,Chamaecrista burchellii,2244,"Mello-Silva, R.",2003,7,1,"Souza, V.C.",/08/2009,2,Brasil,Goiás,Niquelandia,Estr. Niquelândia-Colinas do Sul 28 Km da sa’da de Niquelândia na bifurca‹o para colinas do Sul. Bacia do Rio Bagagem.,-48.185,-14.4642,0
Reflora,NY,NY00959440,Fabaceae,Chamaecrista,Chamaecrista burchellii,2948,"Silva, M.A. da",1996,5,29,"Barneby, R.C.",,2,Brazil,Goiás,Niquelandia,ca. 8 km da cidade. Fazenda Tra’ras,-48.5572,-14.4886,0
Reflora,MO,MO1713985,Fabaceae,Chamaecrista,Chamaecrista burchellii,34613,"Irwin, H.S.",1972,1,21,"Barneby, R.C.",--/--/1981,2,Brazil,Goiás,Niquelandia,Hill-side. Gravelly hills and sandy cerrado ca. 15km S. of Niquelândia.,-48.5676,-14.5835,1
SpeciesLink,US,2801781,Fabaceae,Chamaecrista,Chamaecrista burchellii,34703,"Irwin, H.S.",1972,1,21,"Irwin, H.S.; Barneby, R.C.",,2,Brazil,Goiás,Niquelandia,Cerrado ca. 14 km S. of Niquelandia,-48.5633,-14.5684,1
Reflora,NY,NY00959441,Fabaceae,Chamaecrista,Chamaecrista burchellii,56321,"Hatschbach, G.",1992,1,21,"Barneby, R.C.",,2,Brazil,Goiás,Niquelandia,"Rodovia GO-327, 25 km a leste de Niquelândia",-48.2198,-14.4593,1
SpeciesLink,VIC,45534,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,748,"Pangaio, L.; et al.",2006,8,2,"Rando, J.G.",2014 01 16,1,Brasil,Minas Gerais,Buen—polis,"Serra do Cabral., Regi‹o da Lapa Pintada III.",-44.25,-17.8835,1
JG Rando,"MBM, UPBC",,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,908,"Cervi, A.C.",1996,8,17,"Rando, J.G.",,1,Brasil,Paraná,Jaguaria’va,Parque Estadual do Cerrado,-50.3,-24.15,0
SpeciesLink,HUEFS,201792,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,1125,"Rando, J.G.",2012,1,6,NA,- - -,2,Brasil,Minas Gerais,Delfin—polis,"Estrada Delfin—polis - Sacramento, 63 km da sa’da, borda da estrada. Depois do povoado. Planta‹o de Eucalyptus sp. em ‡rea de cerrado.",-47.0747,-20.1008,0
SpeciesLink,NYBG_BR,959399,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,1204,"Nakajima, J.N.",1995,7,14,"Barneby, R.C.",1995 - -,2,Brazil,Minas Gerais,,"Guarita de Sacramento, PARNA Serra da Canastra, Sao Roque de Minas",-46.9353,-20.1246,1
Reflora,RB,716994,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,1219,"Pangaio, L.",2007,9,12,Administrador,2019 5 28,2,Brasil,Minas Gerais,Buen—polis,"Regi‹o do Tanque, pr—ximo ao Buritizal. Serra do Cabral",-44.3344,-17.885,0
SpeciesLink,US,2338297,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,2520,"Irwin, H.S.",1959,1,31,NA,- - -,2,Brazil,Minas Gerais,,39 km. W of Ibitimirim on road to Altos Campos,-46.5314,-19.574,1
SpeciesLink,NYBG_BR,959408,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,2802,"Duarte, A.P.",1950,8,18,NA,- - -,2,Brazil,Minas Gerais,,"Serradao, entre Catiara e Patos de Minas",-46.6774,-19.1729,0
SpeciesLink,ASU-PLANTS,19782,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,3766,"Cervi, A.C.",1992,9,30,"Ribas, O.S.",- - -,2,Brazil,Paraná,,"Mun. Jaguaria’va, Parque Estadual do Cerrado.",-49.6602,-24.1763,1
JG Rando,RB,,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,5435,"Magalhães, G.M.",1947,7,16,"Rando, J.G.",,2,Brasil,Minas Gerais,Carmo do Parana’ba,,-46.33,-18.98,0
JG Rando,RB,,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,9801,"Irwin, H.S.",1965,11,2,"Rando, J.G.",,2,Brasil,Goiás,Cristalina,"Serra dos Cristais, cerca de 10 km ao sul de Cristalina",-48,-17,1
SpeciesLink,F_BOTANY_BR,,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,10000,"Irwin, H.S.",NA,,,RRC ID Flag,- - -,2,Brazil,Goiás,,,-47.6096,-16.8192,1
Reflora,HUFU,50426,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,21242,"Souza, V.C.",1998,9,7,"Rando, J.G.",2012 5 24,2,Brasil,Minas Gerais,Delfin—polis,Estrada Delfin—polis e o Parque Serra da Canastra ; Cerca de 5 km antes da entrada do Parque. Beira de estrada em ‡rea de planta‹o de Pinus.,-46.7905,-20.3828,1
JG Rando,"NY, RB",,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,23897,"Irwin, H.S.",1969,2,25,"Rando, J.G.",,1,Brasil,Minas Gerais,Montes Claros,"2 km de Água Boa, Serra do Espinhao",-42.3889,-17.9961,0
SpeciesLink,NYBG_BR,,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,25482,"Irwin, H.S.",1970,1,28,NA,- - -,2,Brazil,Minas Gerais,Patroc’nio,,-46.886,-18.7272,1
SpeciesLink,UEC,189560,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,40114,"Souza, VC..",2016,1,29,"Souza, V.C.",2016 01 29,1,Brazil,Minas Gerais,Poos de Caldas,Cerca de 25 km de Poos de Caldas em dire‹o a Andradas,-46.568,-22.0211,1
SpeciesLink,MOBOT_BR,3238524,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,43050,"Hatschbach, G.",1980,8,13,"Barneby, R.C.",- - -,1,Brazil,Goiás,,"Rod. BR-040; 2 km L de Cristalina,",-47.6166,-16.7401,1
JG Rando,MBM,131909 MBM,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,CFCR 2043,"Zappi, D.C.",1985,8,31,"Rando, J.G.",,2,Brasil,Minas Gerais,Joaquim Felício,Serra do Cabral,-44.1722,-17.7577,0
SpeciesLink,OUPR,17016,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,s.n.,"Roschel, M.B.; Silva, J.L.",2003,3,13,"Cota, M.M.T",2015 04 01,2,Brasil,Minas Gerais,Uberaba,"Barreira do Eli, RPPN da Magnesita",-47.9319,-19.7483,1
JG Rando,HJB,17016,Fabaceae,Chamaecrista,Chamaecrista cardiostegia,s/ número,Roshel M.B.,2003,3,13,"Rando, J.G.",,1,Brasil,Minas Gerais,Uberaba ,"Barreira do Eli, RPPN da Magnesita, S.A.",-47.9319,-19.7483,0
SpeciesLink,VIC,36991,Fabaceae,Chamaecrista,Chamaecrista choriophylla,11,"Coutinho, Í.A.C.; Meira, R.M.S.A.; Pereira, T.A.R.",2012,6,27,"Coutinho, Í.A.C.",27/06/2012,1,Brasil,Minas Gerais,Presidente Kubitscheck,Estrada de terra sentido Gurutubas. Solo arenoso/rochoso t’pico de campo rupestre.,-43.5691,-18.6834,2
SpeciesLink,HUFU,52649,Fabaceae,Chamaecrista,Chamaecrista choriophylla,415,"Mello, F.N.A.; Junqueira, T.V.; Morais, T.M. & Yamagishi-Costa, J.",2008,9,23,"Rando, J.G.",2012 05 25,2,Brasil,Minas Gerais,Diamantina,"Estrada Gouveia - Curvelo, Cerca de 20 km de Diamantina.",-43.5114,-18.3336,0
SpeciesLink,SPF,178478,Fabaceae,Chamaecrista,Chamaecrista choriophylla,906,"Rando, J.G.",2009,11,18,"Rando, J.G.",- - -,2,Brasil,Minas Gerais,Santana de Pirapama,Serra do Cip—,-43.759,-19.006,0
SpeciesLink,SPF,178479,Fabaceae,Chamaecrista,Chamaecrista choriophylla,907,"Rando, J.G.",2009,11,18,"Rando, J.G.",- - -,1,Brasil,Minas Gerais,Santana de Pirapama,Serra do Cip—,-43.7589,-19.0061,0
SpeciesLink,SPF,178486,Fabaceae,Chamaecrista,Chamaecrista choriophylla,911,"Rando, J.G.",2009,11,20,"Rando, J.G.",- - -,1,Brasil,Minas Gerais,Santana de Pirapama,Serra do Cip—,-43.7718,-18.9947,0
SpeciesLink,HUEFS,115914,Fabaceae,Chamaecrista,Chamaecrista choriophylla,931,"Conceição, A.S.",2004,9,20,"Concei‹o, A.S.",- - -,1,Brasil,Minas Gerais,Diamantina,"Cristais, Morro ao lado direito, depois do rio.",-43.5992,-18.1667,0
SpeciesLink,SPF,210299,Fabaceae,Chamaecrista,Chamaecrista choriophylla,932,"Rando, J.G.",2010,3,6,"Lewis, GP",2009 11 -,1,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cip—, Capela de S‹o JosŽ. Subida da Senhorinha",-43.7785,-18.9635,0
SpeciesLink,SPF,210405,Fabaceae,Chamaecrista,Chamaecrista choriophylla,938,"Rando, JG",2010,3,10,"Rando, JG",/03/2010,1,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cip—, Capela de S‹o JosŽ. Estrada da Capta‹o da Faz Toucan Cip—",-43.7598,-19.0068,0
SpeciesLink,SPF,216272,Fabaceae,Chamaecrista,Chamaecrista choriophylla,3703,"Nakajima, J.N..N.",2003,10,25,"Rando, J.G.",2014 09 24,2,Brasil,Minas Gerais,Delfin—polis,"Estrada para Casinha Branca, cerrado",-46.7564,-20.3678,0
SpeciesLink,SPF,216232,Fabaceae,Chamaecrista,Chamaecrista choriophylla,3842,"Lewis, G.P.",2009,11,26,"Lewis, G.P.",2009 11 26,2,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cip—, Fazenda Toucan Cip—. Trilha da capta‹o de ‡gua, perto dos est‡bulos.",-43.767,-19.0058,0
SpeciesLink,SP,108357,Fabaceae,Chamaecrista,Chamaecrista choriophylla,8141,"Glassman, S.F.; Correa Gomes Jr, J.",1965,7,15,"Hervêncio, P.",1998 08 -,1,Brasil,Minas Gerais,Diamantina,"Serra do Biribiry, 7-10km W of Diamantina, In cerrado rocky soil",-43.5378,-18.1702,1
Reflora,MBM,MBM035789,Fabaceae,Chamaecrista,Chamaecrista choriophylla,11539,"Anderson, W.R.",1975,2,23,"Barneby, R.",,1,Brazil,Minas Gerais,Gouveia,"Serra do Espinhao, 40-50 km SW of Diamantina on BR-260",-43.75,-18.52,0
SpeciesLink,ESA,32410,Fabaceae,Chamaecrista,Chamaecrista choriophylla,11609,"Souza, V.C.; Capellari Jr., L.; Souza, J.P. & Scalon, V.R.",1996,7,4,"Rando, J.G.",2011 09 -,1,Brasil,Minas Gerais,Santana do Riacho,Serra do Cip—. Fazenda Cachoeira da Capivara. Campo arenoso com afloramentos rochosos.,-43.556,19.2335,1
SpeciesLink,ESA,73409,Fabaceae,Chamaecrista,Chamaecrista choriophylla,25158,"Souza, V.C.; Souza, J.P.; Romão, G.O. & Araújo, A.O.",2001,7,5,"Rando, J.G.",2001 10 -,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—. Fazenda Cachoeira da Capivara. 19o14'57""S, 43o32'42""W. Campo rupestre.",-43.545,-19.2492,0
Reflora,MO,MO1721320,Fabaceae,Chamaecrista,Chamaecrista choriophylla,30077,"Hatschbach, G.",1972,8,8,"Barneby, R.",--/--/1981,1,Brazil,Minas Gerais,Gouveia,"Serra do Cip—, Fda. Palacio (mun. Jaboti-catuba).",-43.5363,-19.2857,1
SpeciesLink,ESA,97799,Fabaceae,Chamaecrista,Chamaecrista choriophylla,32697,"Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P. & Miranda, E.",2007,2,18,"Rando, J.G.",2011 12 -,1,Brasil,Minas Gerais,Santana do Pirapama.,Serra do Cip— (Serra da Lapa). Distrito de S‹o JosŽ da Cachoeira. Trilha do Jo‹o Carrinho (756-1080 m.s.m.). Campo rupestre.,-43.7387,-19.048,2
SpeciesLink,FLOR,15453,Fabaceae,Chamaecrista,Chamaecrista choriophylla,49683,"Hatschbach, G.; Kummrow, R.",1985,9,14,"Hatschbach, G.",1985 - -,2,Brasil,Minas Gerais,Gouveia,Barro Preto.,-43.9384,-18.6211,1
SpeciesLink,UPCB,13208,Fabaceae,Chamaecrista,Chamaecrista choriophylla,49747,"Hatschbach, G.",1985,9,16,"Hatschbach, G.",1985 11 -,1,Brasil,Minas Gerais,Gouveia,"Rodovia BR 259, tronco para Dantas",-43.6919,-18.4173,1
SpeciesLink,UPCB,35820,Fabaceae,Chamaecrista,Chamaecrista choriophylla,68225,"Hatschbach, G.",1998,7,25,"Hatschbach, G.",1998 01 01,1,Brasil,Minas Gerais,Presidente Kubitchek,"Rod. BR 259, pr—ximo ao trevo para Presidente Kubitchek",-43.5722,-18.5784,1
SpeciesLink,CESJ,32126,Fabaceae,Chamaecrista,Chamaecrista choriophylla,68259,"Hatschbach, G.; Hatschbach, M.; E. Barbosa",1998,8,25,"Hatschbach, G.",1998 - -,1,Brasil,Minas Gerais,Diamantina,"Rodovia Guinda- Conselheiro Mata, pr—ximo do Km 21.",-43.8695,-18.31,1
Reflora,NY,NY00959780,Fabaceae,Chamaecrista,Chamaecrista cinerascens,4,"Fernandes, G.W.",1994,9,17,"Barneby, R.C.",--/--/1994,2,Brazil,Minas Gerais,,Serra do Cip—,-43.5397,-19.3883,0
Reflora,NY,NY00959779,Fabaceae,Chamaecrista,Chamaecrista cinerascens,8,"Fernandes, G.W.",1994,9,17,"Barneby, R.C.",--/--/1994,2,Brazil,Minas Gerais,,Serra do Cip—,-43.5398,-19.3884,0
SpeciesLink,BHCB,11087,Fabaceae,Chamaecrista,Chamaecrista cinerascens,32,"Trindade, J.A.",1987,5,23,"Rando, J.G.",,2,Brasil,Minas Gerais,Catas Altas,"Caraa., Caminho para Piscina",-43.4771,-20.1185,1
Reflora,NY,NY00959781,Fabaceae,Chamaecrista,Chamaecrista cinerascens,39,"Fernandes, G.W.",1997,--,--,"Barneby, R.C.",,2,Brazil,Minas Gerais,Jaboticatubas,Serra do Cip—,-43.5398,-19.3884,0
SpeciesLink,SPF,120491,Fabaceae,Chamaecrista,Chamaecrista cinerascens,77,"Hervencio, P.",1997,5,6,"Hervencio, P.",6/5/97,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cip—, Km 119 da Rodovia MG 010 Belo Horizonte-Concei‹o do Mato Dentro, Estrada da Usina, descida para Cachoeira da Capivara.",-43.5581,-19.2636,0
SpeciesLink,SPF,216346,Fabaceae,Chamaecrista,Chamaecrista cinerascens,661,"Rando, J.G",2009,2,3,"Rando, J.G",3/2/09,2,Brasil,Minas Gerais,Congonhas do Norte,"Serra Talhada (setor nordeste da Serra do Cip—), ca. 6 km SW da estrada Congonhas do Norte - Gouveia, entrada a 3,7 km NW de Congonhas do Norte, estrada pelo alto da serra em local denominado localmente Retiro dos Pereiras",-43.6783,-18.9383,0
SpeciesLink,SPF,121829,Fabaceae,Chamaecrista,Chamaecrista cinerascens,973,"Kawasaki, M.L.",1997,5,23,"Hervencio, P.",/09/1997,2,Brasil,Minas Gerais,Santa Barbara,"Serra do Caraa, Trilha do Pico da Carapua.",-43.4153,-19.9594,1
Reflora,BRBA,BRBA007031,Fabaceae,Chamaecrista,Chamaecrista cinerascens,5093,"Pirani, J.R.",2002,6,9,"Rando, J.G.",--/01/2009,2,Brasil,Minas Gerais,Santana do Riacho,"Rodovia Belo Horizonte-Concei‹o do Mato Dentro, MG-010, Km 118 atual (antigo 125), Serra do Cip—, APA Morro da Pedreira, grande afloramento rochoso dominado por velozi‡ceas dracen—ides (Vellozia piresiana e V. compacta).",-43.5581,-19.2636,0
SpeciesLink,UPCB,33796,Fabaceae,Chamaecrista,Chamaecrista cinerascens,9218,"Pereira, E..",1964,9,13,"Guimarães, O.A.",3/9/02,2,Brasil,Minas Gerais,Ouro Preto,Estrada Ouro Preto km 44,-43.5081,-20.2875,0
SpeciesLink,UB,127139,Fabaceae,Chamaecrista,Chamaecrista cinerascens,29012,"Irwin, H.P.",1971,1,24,"Barneby, R.",1982,2,Brasil,Minas Gerais,,Ca. 10km W of Bar‹o de Cocais,-43.5806,-19.944,1
