bibliographicCitation,collectionCode,catalogNumber,scientificName,recordNumber,recordedBy,year,month,day,identifiedBy,dateIdentified,det_ok,country,stateProvince,municipality,locality,decimalLongitude,decimalLatitude,Georef,Qual_data
SpeciesLink,SPF,61704,Chamaecrista arrojadoana,CFSC10326,"Mello-Silva, R.",1987,7,21,"Hervêncio, P.",/12/1996,1,Brasil,Minas Gerais,Santana do Riacho,Serra do Cipó,"-43,567","-19,317",2,1
SpeciesLink,SPF,80348,Chamaecrista arrojadoana,CFSC12757,"Simão-Bianchini, R.",1991,6,1,"Hervêncio, P.",/06/2008,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Alto do Palácio, próximo ao Rio Preto.","-43,538","-19,285",1,1
SpeciesLink,SP,145279,Chamaecrista arrojadoana,CFSC3069,"Joly, A.B.; Semir, J.",1972,8,21,"Rando, J.G.",/06/2008,2,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina, Estrada da Usina, ca. 10km da entrada principal","-43,613","-19,204",1,1
SpeciesLink,SP,145259,Chamaecrista arrojadoana,CFSC3076,"Joly, A.B.; Semir, J.",1972,8,21,"Rando, J.G.",/06/2008,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina, Estrada da Usina, ca. 10km da entrada da estrada principal","-43,613","-19,204",1,1
SpeciesLink,NYBG_BR,978929,Chamaecrista arrojadoana,CFSC9849,"Chukr, N.S.",1986,7,26,"Barneby, R.C.",//1998,2,Brazil,Minas Gerais,Santana do Riacho,Ao longo da rodovia Belo Horizonte- Conceiçao do Mato Dentro. Estrada da Usina,"-43,714","-19,169",0,1
SpeciesLink,SPF,104203,Chamaecrista arrojadoana,PCD1030,"Carvalho, A.M.V.",1994,10,26,"Conceição, AS",/07/1999,1,Brasil,Bahia,Palmeiras,,"-41,471","-12,456",0,1
SpeciesLink,ALCB,37604,Chamaecrista arrojadoana,PCD1066,"Carvalho, A.M.V.",1994,10,27,"Silva, E.M.; Campos, M.D.; F.Vaz, S",/01/1997,1,Brasil,Bahia,Lençóis,"Chapada Diamantina, Serra da Chapadinha","-41,44","-12,46",2,1
SpeciesLink,SPF,103658,Chamaecrista arrojadoana,PCD1242,"Melo, E.",1994,11,22,"Queiroz, L.P.",//1995,1,Brasil,Bahia,Lençóis,Morro da Chapadinha,"-41,453","-12,457",0,1
SpeciesLink,HUEFS,20744,Chamaecrista arrojadoana,PCD256,"Pereira, A.",1994,7,29,"Queiroz, L.P.",//1995,1,Brasil,Bahia,Lençóis,Serra da Chapadinha.,"-41,433","-12,45",0,1
SpeciesLink,HUEFS,63656,Chamaecrista arrojadoana,PCD3784,"Harley, R.M.",1996,8,24,"Conceição, A.S.",/09/2008,1,Brasil,Bahia,Lençóis,Caminho para a Serra da Chapadinha.,"-41,171","-13,229",1,1
SpeciesLink,SPF,103604,Chamaecrista arrojadoana,PCD417,"Orlandi, R.P.",1994,8,29,"Conceição, A.S.",/07/1999,1,Brasil,Bahia,Palmeiras,"Chapada Diamantina, Morro do Pai Inácio","-41,471","-12,456",0,1
SpeciesLink,ALCB,37601,Chamaecrista arrojadoana,PCD555,"Guedes, M.L.; Orlandi, R.P.; Stradmann, M.T.S.; Poveda, A.",1994,8,30,"Silva, E.M.; Campos, M.D.; F.Vaz, S",/01/1997,1,Brasil,Bahia,Palmeiras,"Chapada Diamantina, Morro do Pai Inácio, lado oposto da torre de repetição","-41,472","-12,45",0,1
SpeciesLink,ALCB,37613,Chamaecrista arrojadoana,PCD694,"Guedes, M.L.; Orlandi, R.P.; Stradmann, M.T.S.; Poveda, A.",1994,8,31,"Silva, E.M.; Campos, M.D.; F.Vaz, S",/01/1997,1,Brasil,Bahia,Lençóis,"Chapada Diamantina, Serra da Chapadinha","-41,454","-12,467",2,1
SpeciesLink,ALCB,63507,Chamaecrista arrojadoana,s/n,"Monsão, M.M.A.",2000,2,2,"Conceição, A.S.",//,1,Brasil,Bahia,Gentio do Ouro,"Irecê, Vale das Pedras, (CASF)","-42,721","-11,111",0,1
Reflora,RB,RB00562131,Chamaecrista arrojadoana,s/n,"Simão-Bianchini, R.",1,6,1991,"Hervêncio, P.",--/12/1996,1,Brasil,Minas Gerais,SANTANA DO RIACHO,"Serra do Cipó, alto do Palácio, próximo ao Rio Preto.","-43,56","-19,245",1,1
J.G. Rando,"SP, UEC",145259,Chamaecrista arrojadoana,,"Joly, A.B.",1972,8,21,"Rando, J.G.",,1,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada da Usina, ca. de 10 km da entrada da estrada principal.","-43,613","-19,514",1,1
SpeciesLink,HUEFS,229336,Chamaecrista burchellii,466,"Oliveira, J.A.",2014,11,26,"Rando, J.G.",/12/2014,1,Brasil,Goiás,Niquelândia,Rodovia GO-132. Cerrado sensu strictu às margens da rodovia.,"-481,522","-142,872",0,1
SpeciesLink,CEN,98639,Chamaecrista burchellii,530,"Oliveira, J.A.",2014,11,27,"Cota, M.M.T.",/11/2017,1,Brasil,Goiás,NIQUELANDIA,Margem da Rodovia GO-132.,"-48,115","-143,422",0,1
SpeciesLink,HUEFS,210385,Chamaecrista burchellii,688,"Delfini, C.",2012,10,23,"Cota, M.M.T.",/02/2017,1,Brasil,Goiás,Colinas do Sul,"Estrada entre Colinas do Sul e Niquelândia (GO-237), 17 Km SW (em linha reta) de Colinas do Sul.","-481,564","-142,806",0,1
SpeciesLink,SPF,227708,Chamaecrista burchellii,951,"Borges, L.M.",2012,11,3,"Rando, J.G.",//2015,1,Brasil,Goiás,Niquelândia,"Serra da Mesa, Estrada GO 327, Colinas do Sul#?#Niquelândia; 28,5 km da rotatória no centro da cidade; ambas as margens da estrada.","-481,249","-143,383",0,1
SpeciesLink,SPF,133595,Chamaecrista burchellii,1058,"Forzza, RC",1998,9,17,"Hervencio, P.",/12/1998,2,Brasil,Goiás,Niquelândia,Estrada Niquelândia-Colinas.,"-484,597","-144,739",2,1
Reflora,SPF,SPF00211467,Chamaecrista burchellii,1092,"Rando, J.G.",2011,10,23,Administrador,6/8/2019,2,Brasil,Goiás,Niquelândia,"Estrada Niquelândia - Colinas do Sul, 28 km da saída de Niquelândia, na bifurcação para Colinas do Sul, lado direito da estrada.","-481,879","-144,642",1,1
Reflora,NY,NY00959438,Chamaecrista burchellii,1597,"Fonseca, M.L.",1997,10,2,"Barneby, R.C.",--/--/1988,2,Brazil,Goiás,Niquelândia,"Fazenda Engenho, ca. 11 km de Niquelândia em diração a Dois Irmãos.  Área do Dito.","-483,589","-146,953",0,1
Reflora,NY,NY00959439,Chamaecrista burchellii,1689,"Fonseca, M.L.",1997,11,20,"Barneby, R.C.",,2,Brazil,Goiás,Niquelândia,"Fazenda Engenho, ca. 11 km de Niquelândia em direção a Dois Irmãos. Cabeceira do Rio Traíras","-484,612","-14,601",1,1
Reflora,NY,NY00980397,Chamaecrista burchellii,1788,"Cavalcanti, T.B.",1995,10,6,"Souza, A.O.",--/09/2018,2,Brazil,Goiás,Niquelândia,Estrada Niquelandia-Campinaçu,"-486,167","-139,833",0,1
Reflora,NY,NY00959437,Chamaecrista burchellii,1834,"Fonseca, M.L.",1998,5,8,"Barneby, R.C.",--/--/1988,2,Brazil,Goiás,Niquelândia,ca. 31 km de Niquelândia em direçao a Muquêm; próximo ao Córrego Dois Irmaos. Folha Uruaçú SD 22-Z-B,"-481,783","-144,756",0,1
SpeciesLink,HUEFS,152539,Chamaecrista burchellii,2244,"Mello-Silva, R.",2003,7,1,"Souza, V.C.",/08/2009,2,Brasil,Goiás,Niquelândia,Estr. Niquelândia-Colinas do Sul 28 Km da saída de Niquelândia na bifurcação para colinas do Sul. Bacia do Rio Bagagem.,"-48,185","-144,642",0,1
Reflora,NY,NY00959440,Chamaecrista burchellii,2948,"Silva, M.A. da",1996,5,29,"Barneby, R.C.",,2,Brazil,Goiás,Niquelândia,ca. 8 km da cidade. Fazenda Traíras,"-485,572","-144,886",0,1
Reflora,MO,MO1713985,Chamaecrista burchellii,34613,"Irwin, H.S.",1972,1,21,"Barneby, R.C.",--/--/1981,2,Brazil,Goiás,Niquelândia,Hill-side. Gravelly hills and sandy cerrado ca. 15km S. of Niquelândia.,"-485,676","-145,835",1,1
SpeciesLink,US,2801781,Chamaecrista burchellii,34703,"Irwin, H.S.",1972,1,21,"Irwin, H.S.; Barneby, R.C.",//,2,Brazil,Goiás,Niquelândia,Cerrado ca. 14 km S. of Niquelandia,"-485,633","-145,684",1,1
Reflora,NY,NY00959441,Chamaecrista burchellii,56321,"Hatschbach, G.",1992,1,21,"Barneby, R.C.",,2,Brazil,Goiás,Niquelândia,"Rodovia GO-327, 25 km a leste de Niquelândia","-482,198","-144,593",1,1
SpeciesLink,VIC,45534,Chamaecrista cardiostegia,748,"Pangaio, L.; et al.",2006,8,2,"Rando, J.G.",2014 01 16,1,Brasil,Minas Gerais,Buenópolis.,"Serra do Cabral., Região da Lapa Pintada III.","-44,25","-178,835",1,1
J.G. Rando,"MBM, UPBC",,Chamaecrista cardiostegia,908,"Cervi, A.C.",1996,8,17,"Rando, J.G.",,1,Brasil,Paraná,Jaguariaíva,Parque Estadual do Cerrado,"-50,3","-24,15",0,1
SpeciesLink,HUEFS,201792,Chamaecrista cardiostegia,1125,"Rando, J.G.",2012,1,6,,- - -,2,Brasil,Minas Gerais,Delfinópolis,"Estrada Delfinópolis - Sacramento, 63 km da saída, borda da estrada. Depois do povoado. Plantação de Eucalyptus sp. em área de cerrado.","-470,747","-201,008",0,1
SpeciesLink,NYBG_BR,959399,Chamaecrista cardiostegia,1204,"Nakajima, J.N.",1995,7,14,"Barneby, R.C.",1995 - -,2,Brazil,Minas Gerais,,"Guarita de Sacramento, PARNA Serra da Canastra, Sao Roque de Minas","-469,353","-201,246",1,1
Reflora,RB,716994,Chamaecrista cardiostegia,1219,"Pangaio, L.",2007,9,12,Administrador,2019 5 28,2,Brasil,Minas Gerais,Buenópolis,"Região do Tanque, próximo ao Buritizal. Serra do Cabral","-443,344","-17,885",0,1
SpeciesLink,US,2338297,Chamaecrista cardiostegia,2520,"Irwin, H.S.",1959,1,31,,- - -,2,Brazil,Minas Gerais,,39 km. W of Ibitimirim on road to Altos Campos,"-465,314","-19,574",1,1
SpeciesLink,NYBG_BR,959408,Chamaecrista cardiostegia,2802,"Duarte, A.P.",1950,8,18,,- - -,2,Brazil,Minas Gerais,,"Serradao, entre Catiara e Patos de Minas","-466,774","-191,729",0,1
SpeciesLink,ASU-PLANTS,19782,Chamaecrista cardiostegia,3766,"Cervi, A.C.",1992,9,30,"Ribas, O.S.",- - -,2,Brazil,Paraná,,"Mun. Jaguariaíva, Parque Estadual do Cerrado.","-496,602","-241,763",1,1
J.G. Rando,RB,,Chamaecrista cardiostegia,5435,"Magalhães, G.M.",1947,7,16,"Rando, J.G.",,2,Brasil,Minas Gerais,Carmo do Paranaíba,,"-46,33","-18,98",0,1
J.G. Rando,RB,,Chamaecrista cardiostegia,9801,"Irwin, H.S.",1965,11,2,"Rando, J.G.",,2,Brasil,Goiás,Cristalina,"Serra dos Cristais, cerca de 10 km ao sul de Cristalina",-48,-17,1,1
SpeciesLink,F_BOTANY_BR,,Chamaecrista cardiostegia,10000,"Irwin, H.S.",,,,RRC ID Flag,- - -,2,Brazil,Goiás,,,"-476,096","-168,192",1,1
Reflora,HUFU,50426,Chamaecrista cardiostegia,21242,"Souza, V.C.",1998,9,7,"Rando, J.G.",2012 5 24,2,Brasil,Minas Gerais,Delfinópolis,Estrada Delfinópolis e o Parque Serra da Canastra ; Cerca de 5 km antes da entrada do Parque. Beira de estrada em área de plantação de Pinus.,"-467,905","-203,828",1,1
J.G. Rando,"NY, RB",,Chamaecrista cardiostegia,23897,"Irwin, H.S.",1969,2,25,"Rando, J.G.",,1,Brasil,Minas Gerais,Montes Claros,"2 km de Água Boa, Serra do Espinhaço","-423,889","-179,961",0,1
SpeciesLink,NYBG_BR,,Chamaecrista cardiostegia,25482,"Irwin, H.S.",1970,1,28,,- - -,2,Brazil,Minas Gerais,Patrocínio,,"-46,886","-187,272",1,1
SpeciesLink,UEC,189560,Chamaecrista cardiostegia,40114,"Souza, VC..",2016,1,29,"Souza, V.C.",2016 01 29,1,Brazil,Minas Gerais,Poços de Caldas,Cerca de 25 km de Poços de Caldas em direção a Andradas,"-46,568","-220,211",1,1
SpeciesLink,MOBOT_BR,3238524,Chamaecrista cardiostegia,43050,"Hatschbach, G.",1980,8,13,"Barneby, R.C.",- - -,1,Brazil,Goiás,,"Rod. BR-040; 2 km L de Cristalina,","-476,166","-167,401",1,1
J.G. Rando,MBM,131909 MBM,Chamaecrista cardiostegia,CFCR 2043,"Zappi, D.C.",1985,8,31,"Rando, J.G.",,2,Brasil,Minas Gerais,Joaquim Felício,Serra do Cabral,"-441,722","-177,577",0,1
SpeciesLink,OUPR,17016,Chamaecrista cardiostegia,s.n.,"Roschel, M.B.; Silva, J.L.",2003,3,13,"Cota, M.M.T",2015 04 01,2,Brasil,Minas Gerais,Uberaba,"Barreira do Eli, RPPN da Magnesita","-479,319","-197,483",1,1
J.G. Rando,HJB,17016,Chamaecrista cardiostegia,s/ número,Roshel M.B.,2003,3,13,"Rando, J.G.",,1,Brasil,Minas Gerais,Uberaba,"Barreira do Eli, RPPN da Magnesita, S.A.","-479,319","-197,483",0,1
SpeciesLink,VIC,36991,Chamaecrista choriophylla,11,"Coutinho, Í.A.C.; Meira, R.M.S.A.; Pereira, T.A.R.",2012,6,27,"Coutinho, Í.A.C.",27/06/2012,1,Brasil,Minas Gerais,Presidente Kubitscheck,Estrada de terra sentido Gurutubas. Solo arenoso/rochoso típico de campo rupestre.,"-435,691","-186,834",2,1
SpeciesLink,HUFU,52649,Chamaecrista choriophylla,415,"Mello, F.N.A.; Junqueira, T.V.; Morais, T.M. & Yamagishi-Costa, J.",2008,9,23,"Rando, J.G.",2012 05 25,2,Brasil,Minas Gerais,Diamantina,"Estrada Gouveia - Curvelo, Cerca de 20 km de Diamantina.","-435,114","-183,336",0,1
SpeciesLink,SPF,178478,Chamaecrista choriophylla,906,"Rando, J.G.",2009,11,18,"Rando, J.G.",- - -,2,Brasil,Minas Gerais,Santana de Pirapama,Serra do Cipó,"-43,759","-19,006",0,1
SpeciesLink,SPF,178479,Chamaecrista choriophylla,907,"Rando, J.G.",2009,11,18,"Rando, J.G.",- - -,1,Brasil,Minas Gerais,Santana de Pirapama,Serra do Cipó,"-437,589","-190,061",0,1
SpeciesLink,SPF,178486,Chamaecrista choriophylla,911,"Rando, J.G.",2009,11,20,"Rando, J.G.",- - -,1,Brasil,Minas Gerais,Santana de Pirapama,Serra do Cipó,"-437,718","-189,947",0,1
SpeciesLink,HUEFS,115914,Chamaecrista choriophylla,931,"Conceição, A.S.",2004,9,20,"Conceição, A.S.",- - -,1,Brasil,Minas Gerais,Diamantina,"Cristais, Morro ao lado direito, depois do rio.","-435,992","-181,667",0,1
SpeciesLink,SPF,210299,Chamaecrista choriophylla,932,"Rando, J.G.",2010,3,6,"Lewis, GP",2009 11 -,1,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José. Subida da Senhorinha","-437,785","-189,635",0,1
SpeciesLink,SPF,210405,Chamaecrista choriophylla,938,"Rando, JG",2010,3,10,"Rando, JG",/03/2010,1,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José. Estrada da Captação da Faz Toucan Cipó","-437,598","-190,068",0,1
SpeciesLink,SPF,216272,Chamaecrista choriophylla,3703,"Nakajima, J.N..N.",2003,10,25,"Rando, J.G.",2014 09 24,2,Brasil,Minas Gerais,Delfinópolis,"Estrada para Casinha Branca, cerrado","-467,564","-203,678",0,1
SpeciesLink,SPF,216232,Chamaecrista choriophylla,3842,"Lewis, G.P.",2009,11,26,"Lewis, G.P.",2009 11 26,2,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Fazenda Toucan Cipó. Trilha da captação de água, perto dos estábulos.","-43,767","-190,058",0,1
SpeciesLink,SP,108357,Chamaecrista choriophylla,8141,"Glassman, S.F.; Correa Gomes Jr, J.",1965,7,15,"Hervêncio, P.",1998 08 -,1,Brasil,Minas Gerais,Diamantina,"Serra do Biribiry, 7-10km W of Diamantina, In cerrado rocky soil","-435,378","-181,702",1,1
Reflora,MBM,MBM035789,Chamaecrista choriophylla,11539,"Anderson, W.R.",1975,2,23,"Barneby, R.",,1,Brazil,Minas Gerais,Gouveia,"Serra do Espinhaço, 40-50 km SW of Diamantina on BR-260","-43,75","-18,52",0,1
SpeciesLink,ESA,32410,Chamaecrista choriophylla,11609,"Souza, V.C.; Capellari Jr., L.; Souza, J.P. & Scalon, V.R.",1996,7,4,"Rando, J.G.",2011 09 -,1,Brasil,Minas Gerais,Santana do Riacho,Serra do Cipó. Fazenda Cachoeira da Capivara. Campo arenoso com afloramentos rochosos.,"-43,556","192,335",1,1
SpeciesLink,ESA,73409,Chamaecrista choriophylla,25158,"Souza, V.C.; Souza, J.P.; Romão, G.O. & Araújo, A.O.",2001,7,5,"Rando, J.G.",2001 10 -,1,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó. Fazenda Cachoeira da Capivara. 19o14'57""S, 43o32'42""W. Campo rupestre.","-43,545","-192,492",0,1
Reflora,MO,MO1721320,Chamaecrista choriophylla,30077,"Hatschbach, G.",1972,8,8,"Barneby, R.",--/--/1981,1,Brazil,Minas Gerais,Gouveia,"Serra do Cipó, Fda. Palacio (mun. Jaboti-catuba).","-435,363","-192,857",1,1
SpeciesLink,ESA,97799,Chamaecrista choriophylla,32697,"Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P. & Miranda, E.",2007,2,18,"Rando, J.G.",2011 12 -,1,Brasil,Minas Gerais,Santana do Pirapama.,Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha do João Carrinho (756-1080 m.s.m.). Campo rupestre.,"-437,387","-19,048",2,1
SpeciesLink,FLOR,15453,Chamaecrista choriophylla,49683,"Hatschbach, G.; Kummrow, R.",1985,9,14,"Hatschbach, G.",1985 - -,2,Brasil,Minas Gerais,Gouveia,Barro Preto.,"-439,384","-186,211",1,1
SpeciesLink,UPCB,13208,Chamaecrista choriophylla,49747,"Hatschbach, G.",1985,9,16,"Hatschbach, G.",1985 11 -,1,Brasil,Minas Gerais,Gouveia,"Rodovia BR 259, tronco para Dantas","-436,919","-184,173",1,1
SpeciesLink,UPCB,35820,Chamaecrista choriophylla,68225,"Hatschbach, G.",1998,7,25,"Hatschbach, G.",1998 01 01,1,Brasil,Minas Gerais,Presidente Kubitchek,"Rod. BR 259, próximo ao trevo para Presidente Kubitchek","-435,722","-185,784",1,1
SpeciesLink,CESJ,32126,Chamaecrista choriophylla,68259,"Hatschbach, G.; Hatschbach, M.; E. Barbosa",1998,8,25,"Hatschbach, G.",1998 - -,1,Brasil,Minas Gerais,Diamantina,"Rodovia Guinda- Conselheiro Mata, próximo do Km 21.","-438,695","-18,31",1,1
Reflora,NY,NY00959780,Chamaecrista cinerascens,4,"Fernandes, G.W.",1994,9,17,"Barneby, R.C.",--/--/1994,2,Brazil,Minas Gerais,,Serra do Cipó,"-435,397","-193,883",0,1
Reflora,NY,NY00959779,Chamaecrista cinerascens,8,"Fernandes, G.W.",1994,9,17,"Barneby, R.C.",--/--/1994,2,Brazil,Minas Gerais,,Serra do Cipó,"-435,398","-193,884",0,1
SpeciesLink,BHCB,11087,Chamaecrista cinerascens,32,"Trindade, J.A.",1987,5,23,"Rando, J.G.",//,2,Brasil,Minas Gerais,Catas Altas,"Caraça., Caminho para Piscina","-434,771","-201,185",1,1
Reflora,NY,NY00959781,Chamaecrista cinerascens,39,"Fernandes, G.W.",1997,--,--,"Barneby, R.C.",,2,Brazil,Minas Gerais,Jaboticatubas,Serra do Cipó,"-435,398","-193,884",0,1
SpeciesLink,SPF,120491,Chamaecrista cinerascens,77,"Hervencio, P.",1997,5,6,"Hervencio, P.",6/5/1997,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, Km 119 da Rodovia MG 010 Belo Horizonte-Conceição do Mato Dentro, Estrada da Usina, descida para Cachoeira da Capivara.","-435,581","-192,636",0,1
SpeciesLink,SPF,216346,Chamaecrista cinerascens,661,"Rando, J.G",2009,2,3,"Rando, J.G",3/2/2009,2,Brasil,Minas Gerais,Congonhas do Norte,"Serra Talhada (setor nordeste da Serra do Cipó), ca. 6 km SW da estrada Congonhas do Norte - Gouveia, entrada a 3,7 km NW de Congonhas do Norte, estrada pelo alto da serra em local denominado localmente Retiro dos Pereiras","-436,783","-189,383",0,1
SpeciesLink,SPF,121829,Chamaecrista cinerascens,973,"Kawasaki, M.L.",1997,5,23,"Hervencio, P.",/09/1997,2,Brasil,Minas Gerais,Santa Bárbara,"Serra do Caraça, Trilha do Pico da Carapuça.","-434,153","-199,594",1,1
Reflora,BRBA,BRBA007031,Chamaecrista cinerascens,5093,"Pirani, J.R.",2002,6,9,"Rando, J.G.",--/01/2009,2,Brasil,Minas Gerais,Santana do Riacho,"Rodovia Belo Horizonte-Conceição do Mato Dentro, MG-010, Km 118 atual (antigo 125), Serra do Cipó, APA Morro da Pedreira, grande afloramento rochoso dominado por veloziáceas dracenóides (Vellozia piresiana e V. compacta).","-435,581","-192,636",0,1
SpeciesLink,UPCB,33796,Chamaecrista cinerascens,9218,"Pereira, E..",1964,9,13,"Guimarães, O.A.",3/9/2002,2,Brasil,Minas Gerais,Ouro Preto,Estrada Ouro Preto km 44,"-435,081","-202,875",0,1
SpeciesLink,UB,127139,Chamaecrista cinerascens,29012,"Irwin, H.P.",1971,1,24,"Barneby, R.",//1982,2,Brasil,Minas Gerais,,Ca. 10km W of Barão de Cocais,"-435,806","-19,944",1,1
J.G. Rando,NY,959784,Chamaecrista cinerascens,30058,"Hatschbach, G.",1972,8,8,"Rando, J.G.",,2,Brasil,Minas Gerais,Jaboticatubas,"Serra do Cipó, fazenda Palácio","-437,447","-195,136",0,1
SpeciesLink,UB,127712,Chamaecrista cinerascens,36123,"Anderson, W.R.",1972,2,17,"Rando, J.G",/10/2011,2,Brasil,Minas Gerais,,Serra do Cipó,"-435,675","-193,916",0,1
SpeciesLink,SPF,47532,Chamaecrista cinerascens,CFCR10901,"Zappi, D.C.",1987,5,23,"Barneby, R.C.",//1988,2,Brasil,Minas Gerais,Santa Bárbara,"Serra do Caraça, Caminho para o Mirante.","-436,399","-201,074",1,1
SpeciesLink,SPF,73200,Chamaecrista cinerascens,CFSC12353,"Pirani, J.R.",1991,5,31,"Rando, J.G",27/01/2010,2,Brasil,Minas Gerais,Santana do Riacho,"Serra do Cipó, km 124 da Rodovia Belo Horizonte - Conceição do Mato Dentro, Alto do Palácio, curva da estrada ao sul da estátua do Velho Juca.","-437,142","-191,692",0,1
SpeciesLink,VIC,43021,Chamaecrista cinerascens,420,"Coutinho, Í.A.C.; et al.",2014,3,24,"Coutinho, Í.A.C.",24/03/2014,1,Brasil,Minas Gerais,,"Serra do Cipó, Rodovia que liga Distrito de Serra do Cipó a Conceição de Mato dentro, lado esquerdo próximo a Vellozia gigantea, depois do alojamento do IBAMA, no Alto Palácio. Campo rupestre.","-436,059","-192,863",1,1
SpeciesLink,VIC,45533,Chamaecrista cinerascens,478,"Lima, H.C. de",1978,4,26,"Coutinho, I.A.C.",2/12/2015,1,Brasil,Minas Gerais,Morro do Pilar.,"Parque Nacional da Serra do Cipó., Próximo entrocamento da estrada para conceição do Mato Dentro.","-434,992","-192,203",0,1
SpeciesLink,BHZB,9114,Chamaecrista cinerascens,1615,"Fernandes, M.G.C. et al.",2012,7,12,"Rando, J.G.",/01/2013,1,Brasil,MG,Santana do Riacho,RPPN Brumas do Espinhaço e Ermo do GeraIs,"-437,073","190,421",1,1
SpeciesLink,UEC,35667,Chamaecrista cinerascens,2198,"Joly, A.B.; Semir, J; Joly, A.M.; Martins, F.",1972,5,27,"Rando, J.G",/10/2009,1,Brazil,Minas Gerais,Jaboticatubas,km 127 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.,"-437,447","-195,136",0,1
SpeciesLink,JPB,57087,Chamaecrista cinerascens,9114,"Fernandes, M.G.C.; et al.",2009,7,12,"Rando, J.",/01/2013,1,Brasil,Minas Gerais,Santana do Riacho,"RPPN Brumas do Espinhaço e Ermo do Gerais, Levantamento florístico da RPPN Brumas do Espinhaço com duplicata. S/ponto. Duplicata doada para o herbário SPF em 2013","-437,117","-190,299",1,1
SpeciesLink,SPF,78063,Chamaecrista cinerascens,CFSC13041,"Pirani, J.R.",1993,5,1,"Rando, J.G",/10/2009,1,Brasil,Minas Gerais,Santana do Riacho,"Parque Nacional da Serra do Cipó, Ao N da base do IBAMA do Palácio.","-436,184","-193,432",1,1
Reflora,NY,NY00959760,Chamaecrista cinerascens,s.n.,"Stehmann, J.R.",1990,9,11,"Barneby, R.C.",--/--/1995,1,Brazil,Minas Gerais,,"Caraça, Santa Bárbara. Gruta Pe. Caio","-434,153","-199,594",0,1
SpeciesLink,HUFU,58179,Chamaecrista distichoclada,243,"Hemsing, P.K.B.; Hemsing, P.K.B.; Soares, P.N.; Deus, F.F. & Marzineck, J.",2010,9,21,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Parque Estadual do Biribiri, Cachoeira dos Cristais.","-43,602","-18,162",0,1
SpeciesLink,VIES,28084,Chamaecrista distichoclada,317,"Mello, F.N.A.; Nakajima, J.N.; Rosa, P.O.; Soares, P.N. & Martins, C.A.",2008,5,18,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Parque do Biribiri, Cachoeira dos Cristais.","-43,602","-18,157",0,1
SpeciesLink,HUEFS,124503,Chamaecrista distichoclada,342,"Azevedo, C.",2007,5,26,"Rando, J.G.",/09/2012,1,Brasil,Minas Gerais,São Gonçalo do Rio Preto,"Parque Estadual de Rio Preto, parte alta do Parque, ca. 1480 m alt.","-43,333","-18,2",0,1
SpeciesLink,SPF,226127,Chamaecrista distichoclada,391,"Cota, M.M.T.",2012,6,11,Anônimo,//,1,Brasil,Minas Gerais,Diamantina,Campus JK - UFVJM. Trilha margeando o Córrego Soberbo.,"-43,57","-18,198",1,1
SpeciesLink,HUEFS,234157,Chamaecrista distichoclada,400,"Cota, M.M.T.",2012,7,3,,,1,Brasil,Minas Gerais,Diamantina,Campus JK-UFVJM.,"-43,569","-18,198",0,1
SpeciesLink,VIC,45747,Chamaecrista distichoclada,1046,"Kawasaki, M.L. & et al.",1997,10,2,"Rando, J.G.",/11/2011,2,Brasil,Minas Gerais,Diamantina,"Distrito de Biribiri, estrada ao longo do córrego","-43,6","-18,249",0,1
SpeciesLink,SPF,216283,Chamaecrista distichoclada,1230,"Rando, J.G.",2012,6,9,"Rando, J.G.",9/6/2012,1,Brasil,Minas Gerais,Diamantina,"Campus da Universidade UFVJM. Próximo ao córrego Soberbo, seguindo pela trilha que passa por trás do antigo apiário da Universidade. Sobre o morro à esquerda.","-43,569","-18,198",0,1
SpeciesLink,HUFU,58097,Chamaecrista distichoclada,8351,"Romero, R.; Versiane, A.F.A.; Bacci, L. & Castro, N.M.",2010,9,21,"Rando, J.G.",24/05/2012,2,Brasil,Minas Gerais,Diamantina,"Parque Estadual do Biribiri, Cachoeira dos Cristais.","-43,602","-18,162",0,1
SpeciesLink,UB,127265,Chamaecrista distichoclada,21729,"Vasconcellos, M.B.",1989,7,4,"Rando, J.G.",//2009,2,Brasil,Minas Gerais,Diamantina,15km N de Diamantina,"-43,601","-18,108",1,1
